name,expression,delay,decay,truncation,neutralization,pasteurization,nanHandling
r33b_news_qep_p,"group_zscore(winsorize(ts_mean(ts_backfill(nws18_qep, 22), 5), std=3.0), industry)",1,12,0.01,NONE,ON,ON
r33b_news_qep_n,"group_zscore(winsorize(-ts_mean(ts_backfill(nws18_qep, 22), 5), std=3.0), industry)",1,12,0.01,NONE,ON,ON
r33b_news_ssc_p,"group_zscore(winsorize(ts_mean(ts_backfill(nws18_ssc, 22), 5), std=3.0), industry)",1,12,0.01,NONE,ON,ON
r33b_news_ssc_n,"group_zscore(winsorize(-ts_mean(ts_backfill(nws18_ssc, 22), 5), std=3.0), industry)",1,12,0.01,NONE,ON,ON
r33b_anl_c_m16,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); m = group_zscore(winsorize(-ts_mean(composite_factor_score_derivative, 10), std=3.0), industry); group_zscore(winsorize(a + a + c + m, std=3.0), industry)",1,12,0.01,NONE,ON,ON
r33b_anl_d_m16,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); d = group_zscore(winsorize(-ts_mean(returns, 5), std=3.0), industry); m = group_zscore(winsorize(-ts_mean(composite_factor_score_derivative, 10), std=3.0), industry); group_zscore(winsorize(a + a + d + m, std=3.0), industry)",1,12,0.01,NONE,ON,ON
r33b_anl_c_d_m16,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); d = group_zscore(winsorize(-ts_mean(returns, 5), std=3.0), industry); m = group_zscore(winsorize(-ts_mean(composite_factor_score_derivative, 10), std=3.0), industry); group_zscore(winsorize(a + a + c + d + m, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33b_anl_c_fnd,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); f = group_zscore(winsorize(ts_mean(operating_income / cap, 20), std=3.0), subindustry); group_zscore(winsorize(a + a + c + f, std=3.0), industry)",1,12,0.01,NONE,ON,ON
r33b_anl_d_fnd,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); d = group_zscore(winsorize(-ts_mean(returns, 5), std=3.0), industry); f = group_zscore(winsorize(ts_mean(operating_income / cap, 20), std=3.0), subindustry); group_zscore(winsorize(a + a + d + f, std=3.0), industry)",1,12,0.01,NONE,ON,ON
r33b_anl_m16_fnd,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); m = group_zscore(winsorize(-ts_mean(composite_factor_score_derivative, 10), std=3.0), industry); f = group_zscore(winsorize(ts_mean(operating_income / cap, 20), std=3.0), subindustry); group_zscore(winsorize(a + a + m + f, std=3.0), industry)",1,12,0.01,NONE,ON,ON
r33b_anl_c_d_fnd,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); d = group_zscore(winsorize(-ts_mean(returns, 5), std=3.0), industry); f = group_zscore(winsorize(ts_mean(operating_income / cap, 20), std=3.0), subindustry); group_zscore(winsorize(a + a + c + d + f, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33b_fnd_c_d,"f = group_zscore(winsorize(ts_mean(operating_income / cap, 20), std=3.0), subindustry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); d = group_zscore(winsorize(-ts_mean(returns, 5), std=3.0), industry); group_zscore(winsorize(f + f + c + d, std=3.0), industry)",1,12,0.01,NONE,ON,ON
r33b_anl_c_d_qep,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); d = group_zscore(winsorize(-ts_mean(returns, 5), std=3.0), industry); q = group_zscore(winsorize(ts_mean(ts_backfill(nws18_qep, 22), 5), std=3.0), industry); group_zscore(winsorize(a + a + c + d + q, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33b_anl_c_d_qepn,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); d = group_zscore(winsorize(-ts_mean(returns, 5), std=3.0), industry); q = group_zscore(winsorize(-ts_mean(ts_backfill(nws18_qep, 22), 5), std=3.0), industry); group_zscore(winsorize(a + a + c + d + q, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33b_m162_c_d,"m = group_zscore(winsorize(-ts_mean(composite_factor_score_derivative, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); d = group_zscore(winsorize(-ts_mean(returns, 5), std=3.0), industry); group_zscore(winsorize(m + m + c + d, std=3.0), industry)",1,16,0.02,NONE,ON,ON
r33b_anl_relnum_d,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); u = group_zscore(winsorize(ts_mean(rel_num_all, 10), std=3.0), industry); d = group_zscore(winsorize(-ts_mean(returns, 5), std=3.0), industry); group_zscore(winsorize(a + a + u + d, std=3.0), industry)",1,12,0.01,NONE,ON,ON
