name,expression,delay,decay,truncation,neutralization,pasteurization,nanHandling
r33g_r2cp_d7,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; r = group_zscore(winsorize(ts_rank(s, 120), std=3.0), subindustry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(r + r + c + p, std=3.0), industry)",1,7,0.01,NONE,ON,ON
r33g_r2cp_d10,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; r = group_zscore(winsorize(ts_rank(s, 120), std=3.0), subindustry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(r + r + c + p, std=3.0), industry)",1,10,0.01,NONE,ON,ON
r33g_r2c2p_d14,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; r = group_zscore(winsorize(ts_rank(s, 120), std=3.0), subindustry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(r + r + c + c + p, std=3.0), industry)",1,14,0.01,NONE,ON,ON
