name,expression,decay,truncation,neutralization
m16_static,"rank(multi_factor_static_score_derivative)",4,0.02,SUBINDUSTRY
m16_composite,"rank(composite_factor_score_derivative)",4,0.02,SUBINDUSTRY
m16_analyst_rev,"rank(analyst_revision_rank_derivative)",4,0.02,SUBINDUSTRY
m16_earn_cert,"rank(earnings_certainty_rank_derivative)",4,0.02,SUBINDUSTRY
m16_cashflow,"rank(cashflow_efficiency_rank_derivative)",4,0.02,SUBINDUSTRY
m16_relval,"rank(relative_valuation_rank_derivative)",4,0.02,SUBINDUSTRY
m16_growth,"rank(growth_potential_rank_derivative)",4,0.02,SUBINDUSTRY
m16_accel,"rank(multi_factor_acceleration_score_derivative)",4,0.02,SUBINDUSTRY
m16_static_neg,"-rank(multi_factor_static_score_derivative)",4,0.02,SUBINDUSTRY
